[20:17:37] Name: dadas, Id: 47, Type: 11, Entity: 0, Amount: 2, Value: 0, Desc: Lvl: 2, HP: 27 +7
[20:17:37] Name: dadas, Id: 47, Type: 11, Entity: 0, Amount: 3, Value: 0, Desc: Lvl: 3, HP: 34 +7
[20:17:37] Name: dadas, Id: 47, Type: 11, Entity: 0, Amount: 4, Value: 0, Desc: Lvl: 4, HP: 42 +8
[20:17:37] Name: dadas, Id: 47, Type: 11, Entity: 0, Amount: 5, Value: 0, Desc: Lvl: 5, HP: 49 +7
[20:17:37] Name: dadas, Id: 47, Type: 11, Entity: 0, Amount: 6, Value: 0, Desc: Lvl: 6, HP: 57 +8
[20:17:37] Name: dadas, Id: 47, Type: 11, Entity: 0, Amount: 7, Value: 0, Desc: Lvl: 7, HP: 65 +8
[20:17:37] Name: dadas, Id: 47, Type: 11, Entity: 0, Amount: 8, Value: 0, Desc: Lvl: 8, HP: 71 +6
[20:17:37] Name: dadas, Id: 47, Type: 11, Entity: 0, Amount: 9, Value: 0, Desc: Lvl: 9, HP: 78 +7
[20:17:37] Name: dadas, Id: 47, Type: 11, Entity: 0, Amount: 10, Value: 0, Desc: Lvl: 10, HP: 83 +5
[20:17:37] Name: dadas, Id: 47, Type: 11, Entity: 0, Amount: 11, Value: 0, Desc: Lvl: 11, HP: 89 +6
[20:17:37] Name: dadas, Id: 47, Type: 11, Entity: 0, Amount: 12, Value: 0, Desc: Lvl: 12, HP: 96 +7
[20:17:37] Name: dadas, Id: 47, Type: 11, Entity: 0, Amount: 13, Value: 0, Desc: Lvl: 13, HP: 101 +5
[20:17:37] Name: dadas, Id: 47, Type: 11, Entity: 0, Amount: 14, Value: 0, Desc: Lvl: 14, HP: 109 +8
[20:17:37] Name: dadas, Id: 47, Type: 11, Entity: 0, Amount: 15, Value: 0, Desc: Lvl: 15, HP: 117 +8
[20:17:37] Name: dadas, Id: 47, Type: 11, Entity: 0, Amount: 16, Value: 0, Desc: Lvl: 16, HP: 123 +6
[20:17:37] Name: dadas, Id: 47, Type: 11, Entity: 0, Amount: 17, Value: 0, Desc: Lvl: 17, HP: 132 +9
[20:17:37] Name: dadas, Id: 47, Type: 11, Entity: 0, Amount: 18, Value: 0, Desc: Lvl: 18, HP: 141 +9
[20:17:37] Name: dadas, Id: 47, Type: 11, Entity: 0, Amount: 19, Value: 0, Desc: Lvl: 19, HP: 147 +6
[20:17:37] Name: dadas, Id: 47, Type: 11, Entity: 0, Amount: 20, Value: 0, Desc: Lvl: 20, HP: 155 +8
[20:17:37] Name: dadas, Id: 47, Type: 11, Entity: 0, Amount: 21, Value: 0, Desc: Lvl: 21, HP: 163 +8
[20:17:37] Name: dadas, Id: 47, Type: 11, Entity: 0, Amount: 22, Value: 0, Desc: Lvl: 22, HP: 171 +8
[20:17:37] Name: dadas, Id: 47, Type: 11, Entity: 0, Amount: 23, Value: 0, Desc: Lvl: 23, HP: 180 +9
[20:17:37] Name: dadas, Id: 47, Type: 11, Entity: 0, Amount: 24, Value: 0, Desc: Lvl: 24, HP: 185 +5
[20:17:37] Name: dadas, Id: 47, Type: 11, Entity: 0, Amount: 25, Value: 0, Desc: Lvl: 25, HP: 190 +5
[20:17:37] Name: dadas, Id: 47, Type: 11, Entity: 0, Amount: 26, Value: 0, Desc: Lvl: 26, HP: 198 +8
[20:17:37] Name: dadas, Id: 47, Type: 11, Entity: 0, Amount: 27, Value: 0, Desc: Lvl: 27, HP: 203 +5
[20:17:37] Name: dadas, Id: 47, Type: 11, Entity: 0, Amount: 28, Value: 0, Desc: Lvl: 28, HP: 211 +8
